name,type,url,dicname
CMIP5-subset_CanESM2_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/CCCMA/CANESM2/historical/day/cccma_canesm2_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_CanESM2_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/CCCMA/CANESM2/rcp85/day/cccma_canesm2_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_CNRM-CM5_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/CNRM-CERFACS/CNRM-CM5/historical/day/cnrm-cerfacs_cnrm-cm5_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_CNRM-CM5_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/CNRM-CERFACS/CNRM-CM5/rcp85/day/cnrm-cerfacs_cnrm-cm5_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_IPSL-CM5A-MR_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/IPSL/IPSL-CM5A-MR/historical/day/ipsl_ipsl-cm5a-mr_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_IPSL-CM5A-MR_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/IPSL/IPSL-CM5A-MR/rcp85/day/ipsl_ipsl-cm5a-mr_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_GFDL-ESM2M_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/NOAA-GFDL/GFDL-ESM2M/historical/day/noaa-gfdl_gfdl-esm2m_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_GFDL-ESM2M_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/NOAA-GFDL/GFDL-ESM2M/rcp85/day/noaa-gfdl_gfdl-esm2m_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_MPI-ESM-MR_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/MPI-M/MPI-ESM-MR/historical/day/mpi-m_mpi-esm-mr_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_MPI-ESM-MR_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/MPI-M/MPI-ESM-MR/rcp85/day/mpi-m_mpi-esm-mr_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_MPI-ESM-LR_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/MPI-M/MPI-ESM-LR/historical/day/mpi-m_mpi-esm-lr_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_MPI-ESM-LR_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/MPI-M/MPI-ESM-LR/rcp85/day/mpi-m_mpi-esm-lr_rcp85_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_EC-EARTH_r12i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/EC-EARTH/EC-EARTH/historical/day/ec-earth_ec-earth_historical_r12i1p1.ncml,CMIP5.dic
CMIP5-subset_EC-EARTH_r12i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/EC-EARTH/EC-EARTH/rcp85/day/ec-earth_ec-earth_rcp85_r12i1p1.ncml,CMIP5.dic
CMIP5-subset_NorESM1-M_r1i1p1_historical,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/NCC/NORESM1-M/historical/day/ncc_noresm1-m_historical_r1i1p1.ncml,CMIP5.dic
CMIP5-subset_NorESM1-M_r1i1p1_rcp85,projection,http://data.meteo.unican.es/tds5/dodsC/cmip5/NCC/NORESM1-M/rcp85/day/ncc_noresm1-m_rcp85_r1i1p1.ncml,CMIP5.dic

